Author,Problems owned, Problems with tests missing (count), Problems with tests missing
vdmedragon,65,65,LSORTVN|M00PAIR|M3TILE|MBEEWALK|MBIPALIN|MBLAST|MBRACKET|MCARDS|MCHAOS|MCIRGAME|MCITYHAL|MCLEAN|MCLONUM|MCOINS|MCONSTR|MCONVOI|MDIGITS|MDIGITS1|MDIGITS2|MDOLLS|MDOSTAVA|MELE2|MELE3|MFISH|MGAME1|MJOURNEY|MKOKOS|MKUHAR|MLASERP|MMASS|MMATRIX|MMAXPER|MMINPER|MMMGAME|MMOD29|MNE07|MNERED|MPART|MPIGS|MPILOT|MPOLEVAL|MPRIME1|MRECAMAN|MRECT1|MREPLBRC|MROADS|MSAFE|MSE06H|MSE07B|MSE08G|MSE08H|MSKYCODE|MSTICK|MSTRING|MTELE|MTOTALF|MTREE|MTREECOL|MTRIAREA|MVECTOR|MZVRK|PIZZALOC|STARGATE|TAPN|TREENUM
anhdq,21,21,ADWFNSNW|ARITHSEQ|BALGAME3|BALLGAME|CARDSHUF|CHNREST|COP3|FLOWGROW|FSOFT|HCN3D|HP09ANTS|HP09STAL|HP09TEAM|HWAYADS|MASKTAPE|MOBIVINA|NEAREST|PA06ANT|STREDUCE|TABLE5X5|TWINSNOW
iamtnl,12,12,NTBANK|NTFENCE|NTFLOWER|NTFRAME|NTHUGE|NTKING|NTPACK|NTPFECT|NTSEQ|NTSHEEP|NTSURF|NTTREE
kata69,7,7,BLGEN|BLOPER|BLOPER2|BLSUMSEQ|CAPITAL|QTDIVSEQ|TAYTRUC
mr_pyn_hp9x,6,6,TPCDLCS|TPCHOLE1|TPCHOLE2|TPCLKNUM|TPCPALIN|TPCPPLAR
only_love97,15,6,EXPAR|LUCKY13|NKGAME|PKADKP|PKGROUP|TGPASCAL
aukcwe,5,5,GANNHAT|GROUP|LIGHTS|RECT3_2|SUMS
dat1511,5,5,TPBISHOP|TPINCD|TPJOUR|TPMOVE|TPMZVRK
naruto238,11,5,A2DIGIT|PBCFIBO|PBCSEQ|PBCWAYS|PBCWRI
ladpro98,4,4,ADBRACK|NUMVN|PBCJUMP|PBCRECT
yenthanh132,41,4,C11PRIME|DBRACKET|PHEPNHAN|TWOSUM
cun,70,4,QBMOUSE|QBTREEK|SCIRCLE|SHCH
duyhung123abc,6,4,BALGAME2|CVP00001|LASCALE|TPTICKET
c_hunter,4,4,CVPDROME|FOURPOS|ONE4EVER|TRAPEZOI
soncbg,4,3,CHESSCBG|COUNTCBG|NOIXICH
kauke,11,3,LQDFIBO|LQDFIBO2|LQDFROG
hlong290494,3,3,NUMCON|TTRAVEL|XAYNHA
kvd,3,3,BASEH|EQUTRI|HAF1
paulmcvn,181,3,CPPSET|ROADS|TREECST
tienpro,4,3,CARDS|QMAX4|SPBINARY
company_1,16,3,CTNAB|KSPREE|MKFLAGS
tranhaidangfpt,14,3,KNIGHTS1|SIGNAL|SKIVER1
thanhbebi17,5,2,GAME3112|LUYTHUA2
code123,7,2,QTCAL|QTLOVE2
baochi810,2,2,BCDIV|BFCHAL
tikiupi,4,1,LSTTCD2
kalinov,1,1,PATULJCI
thanhvy,1,1,CTAIN
swarnaprakash,1,1,KGSS
omar_azazy,1,1,ACPC10G
kuro97,1,1,QTGIFT1
anvy1102,1,1,YPKTH
vanhoa,1,1,VNPLAN2
racer,74,1,CON
skyvn97,8,1,SKBUS
hard7771988,50,1,REL7
nghia,3,0,
voj,215,0,
tohuuquan,16,0,
dtmp,24,0,
conankudo,3,0,
rain1452,1,0,
coder_1340,7,0,
beo_map,25,0,
beo_chay_so,34,0,
theguiler,3,0,
vankiepsau95,3,0,
franco1,5,0,
hnue,6,0,
john_jones,1,0,
trungvt130584,1,0,
tienhoangna,1,0,
lionking10,1,0,
hphong,22,0,
primeminister,4,0,
duonghanguyen,5,0,
miticc06,1,0,
admin,1,0,
khanhptnk,23,0,
huytion156,1,0,
cho_thanhan,4,0,
yellowflash12,55,0,
haidang001,1,0,
pro4minh,1,0,
huy391992,40,0,
songuku95,27,0,
